Slot,ItemID,Name,Dungeon,Type,Link,Stat
Back,221154,Swarmcaller's Shroud,"Ara-Kara, City of Echoes",Accessory,https://www.wowhead.com/item=221154/swarmcallers-shroud,
Back,221088,Anvilhide Cape,The Stonevault,Accessory,https://www.wowhead.com/item=221088/anvilhide-cape,
Back,56126,Azureborne Cloak,Grim Batol,Accessory,https://www.wowhead.com/item=56126/azureborne-cloak,
Back,56219,Shroud of Dark Memories,Grim Batol,Accessory,https://www.wowhead.com/item=56219/shroud-of-dark-memories,
Back,133363,Troggstitched Drape,Grim Batol,Accessory,https://www.wowhead.com/item=133363/troggstitched-drape,
Finger,221189,Experiment 08752's Band,City of Threads,Accessory,https://www.wowhead.com/item=221189/experiment-08752s-band,
Finger,221136,Devout Zealot's Ring,The Dawnbreaker,Accessory,https://www.wowhead.com/item=221136/devout-zealots-ring,
Finger,221141,High Nerubian Signet,The Dawnbreaker,Accessory,https://www.wowhead.com/item=221141/high-nerubian-signet,
Finger,178781,Ritual Commander's Ring,The Necrotic Wake,Accessory,https://www.wowhead.com/item=178781/ritual-commanders-ring,
Finger,178736,Stitchflesh's Misplaced Signet,The Necrotic Wake,Accessory,https://www.wowhead.com/item=178736/stitchfleshs-misplaced-signet,
Finger,159461,Band of the Ancient Dredger,Siege of Boralus,Accessory,https://www.wowhead.com/item=159461/band-of-the-ancient-dredger,
Finger,162541,Band of the Roving Scalawag,Siege of Boralus,Accessory,https://www.wowhead.com/item=162541/band-of-the-roving-scalawag,
Finger,56457,Circle of Bone,Grim Batol,Accessory,https://www.wowhead.com/item=56457/circle-of-bone,
Finger,56445,Ring of Dun Algaz,Grim Batol,Accessory,https://www.wowhead.com/item=56445/ring-of-dun-algaz,
Finger,56114,Umbriss Band,Grim Batol,Accessory,https://www.wowhead.com/item=56114/umbriss-band,
Neck,221181,Elder's Hemolymphal Periapt,City of Threads,Accessory,https://www.wowhead.com/item=221181/elders-hemolymphal-periapt,
Neck,221077,"""Emergency Stop"" Keychain",The Stonevault,Accessory,https://www.wowhead.com/item=221077/emergency-stop-keychain,
Neck,178707,Trailspinner Pendant,Mists of Tirna Scithe,Accessory,https://www.wowhead.com/item=178707/trailspinner-pendant,
Head,221187,Intertwiner's Shadowcowl,City of Threads,Cloth,https://www.wowhead.com/item=221187/intertwiners-shadowcowl,
Head,178693,Cocoonsilk Cowl,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178693/cocoonsilk-cowl,
Head,178732,Abominable Visage,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178732/abominable-visage,
Head,133302,Crown of Enfeebled Bodies,Grim Batol,Cloth,https://www.wowhead.com/item=133302/crown-of-enfeebled-bodies,
Shoulders,221135,Fanatic's Blackened Shoulderwraps,The Dawnbreaker,Cloth,https://www.wowhead.com/item=221135/fanatics-blackened-shoulderwraps,
Shoulders,178696,Ingra Maloch's Mantle,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178696/ingra-malochs-mantle,
Shoulders,178740,Reanimator's Mantle,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178740/reanimators-mantle,
Chest,221176,Arachnofrost Vest,City of Threads,Cloth,https://www.wowhead.com/item=221176/arachnofrost-vest,
Chest,221095,Shadowed Orator's Tunic,The Stonevault,Cloth,https://www.wowhead.com/item=221095/shadowed-orators-tunic,
Wrist,221182,Vitriolic Veinwoven Wraps,City of Threads,Cloth,https://www.wowhead.com/item=221182/vitriolic-veinwoven-wraps,
Wrist,178704,Deathshackle Wristwraps,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178704/deathshackle-wristwraps,
Wrist,178782,Necropolis Lord's Shackles,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178782/necropolis-lords-shackles,
Wrist,56125,Crimsonborne Bracers,Grim Batol,Cloth,https://www.wowhead.com/item=56125/crimsonborne-bracers,
Hands,221170,Subduer's Terrorgrips,City of Threads,Cloth,https://www.wowhead.com/item=221170/subduers-terrorgrips,
Hands,178705,Tricksprite Gloves,Mists of Tirna Scithe,Cloth,https://www.wowhead.com/item=178705/tricksprite-gloves,
Hands,178748,Gory Surgeon's Gloves,The Necrotic Wake,Cloth,https://www.wowhead.com/item=178748/gory-surgeons-gloves,
Hands,159237,Captain's Dustfinders,Siege of Boralus,Cloth,https://www.wowhead.com/item=159237/captains-dustfinders,
Waist,221158,Burrower's Cinch,"Ara-Kara, City of Echoes",Cloth,https://www.wowhead.com/item=221158/burrowers-cinch,
Waist,221087,Dorlita's Safety Belt,The Stonevault,Cloth,https://www.wowhead.com/item=221087/dorlitas-safety-belt,
Waist,159965,Redhook's Cummerbund,Siege of Boralus,Cloth,https://www.wowhead.com/item=159965/redhooks-cummerbund,
Legs,221164,Archaic Venomancer's Footwraps,"Ara-Kara, City of Echoes",Cloth,https://www.wowhead.com/item=221164/archaic-venomancers-footwraps,
Legs,221164,Archaic Venomancer's Footwraps,The Stonevault,Cloth,https://www.wowhead.com/item=221164/archaic-venomancers-footwraps,
