Type,Slot,Item,Dungeon,value,Stat,Link,ID
Accessory,Back,Chef Chewie's Towel,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221054/chef-chewies-towel,221054
Accessory,Back,Candlebearer's Shroud,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221109/candlebearers-shroud,221109
Accessory,Back,Electrician's Siphoning Filter,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234507/electricians-siphoning-filter,234507
Accessory,Back,Trashmaster's Mantle,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=199921/trashmasters-mantle,199921
Accessory,Back,Cloak of Questionable Intent,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159287/cloak-of-questionable-intent,159287
Accessory,Neck,Strapped Rescue-Keg,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221060/strapped-rescue-keg,221060
Accessory,Neck,Flickering Glowtorc,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221103/flickering-glowtorc,221103
Accessory,Ring,85-Year Tenure Ring,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221198/85-year-tenure-ring,221198
Accessory,Ring,Wick's Golden Loop,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221099/wicks-golden-loop,221099
Accessory,Ring,Radiant Necromancer's Band,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221200/radiant-necromancers-band,221200
Accessory,Ring,Hoop of the Blighted,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221197/hoop-of-the-blighted,221197
Accessory,Ring,Ritual Bone Band,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178870/ritual-bone-band,178870
Accessory,Ring,Bloodoath Signet,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178871/bloodoath-signet,178871
Accessory,Ring,Fleshfused Circle,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178869/fleshfused-circle,178869
Accessory,Ring,Ring of Perpetual Conflict,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178872/ring-of-perpetual-conflict,178872
Accessory,Ring,Footbomb Championship Ring,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159462/footbomb-championship-ring,159462
Cloth,Head,Cinderbrew-Soaked Cowl,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221055/cinderbrew-soaked-cowl,221055
Cloth,Head,Elysian Flame Crown,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221131/elysian-flame-crown,221131
Cloth,Head,Inventor's Ingenious Trifocals,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235226/inventors-ingenious-trifocals,235226
Cloth,Shoulder,Moneymaking Businessmantle,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221072/moneymaking-businessmantle,221072
Cloth,Shoulder,Photophobic Amice,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221115/photophobic-amice,221115
Cloth,Shoulder,Plague-Licked Amice,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178803/plague-licked-amice,178803
Cloth,Shoulder,Shoulderguards of Fraying Sanity,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=235812/shoulderguards-of-fraying-sanity,235812
Cloth,Shoulder,Exquisitely Aerodynamic Shoulderpads,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235418/exquisitely-aerodynamic-shoulderpads,235418
Cloth,Chest,Zealous Warden's Raiment,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221126/zealous-wardens-raiment,221126
Cloth,Chest,Saboteur's Rubber Jacket,Operation: Floodgate,fg,,https://www.wowhead.com/ptr-2/item=234496/saboteurs-rubber-jacket,234496
Cloth,Chest,Soulsewn Vestments,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178792/soulsewn-vestments,178792
Cloth,Chest,Petticoat of the Self-Stylized Azerite Baron,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=235420/petticoat-of-the-self-stylized-azerite-baron,235420
Cloth,Wrist,Gleamwax Shackles,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221104/gleamwax-shackles,221104
Cloth,Wrist,Charged Rookfeather Wraps,The Rookery,rook,,https://www.wowhead.com/ptr-2/item=221037/charged-rookfeather-wraps,221037
Cloth,Wrist,Contaminated Gauze Wristwraps,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178806/contaminated-gauze-wristwraps,178806
Cloth,Wrist,Hyperthread Wristwraps,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168989/hyperthread-wristwraps,168989
Cloth,Wrist,Rixxa's Sweat-Wicking Cuffs,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159240/rixxas-sweat-wicking-cuffs,159240
Cloth,Hands,Punctured Apiary Gloves,Cinderbrew Meadery,brew,,https://www.wowhead.com/ptr-2/item=221067/punctured-apiary-gloves,221067
Cloth,Hands,King's Malicious Clutches,Darkflame Cleft,dfc,,https://www.wowhead.com/ptr-2/item=221108/kings-malicious-clutches,221108
Cloth,Hands,Operator's Mitts,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168969/operators-mitts,168969
Cloth,Hands,Mine Rat's Handwarmers,The MOTHERLODE!!,ml,,https://www.wowhead.com/ptr-2/item=159231/mine-rats-handwarmers,159231
Cloth,Waist,Honorbound Retainer's Sash,Priory of the Sacred Flame,psf,,https://www.wowhead.com/ptr-2/item=221121/honorbound-retainers-sash,221121
Cloth,Waist,Fallen Empress's Cord,Theater of Pain,top,,https://www.wowhead.com/ptr-2/item=178804/fallen-empresss-cord,178804
Cloth,Waist,Ringmaster's Cummerbund,Operation: Mechagon,work,,https://www.wowhead.com/ptr-2/item=168958/ringmasters-cummerbund,168958
